# Manhattan
"88-09 Northern Blvd","Jackson Heights",1400,Studio,1,6.5,"7","3rd floor walkup","utilities;laundry","apt102.jpg","Maria Santos","718-555-0602","Mon/Wed 4-6","First/Last","https://www.google.com/maps/search/?api=1&query=88-09+Northern+Blvd+Jackson+Heights+NY+11372"
"85 Stanhope St","Bushwick",1300,Studio,1,6.8,"L","Room in 3BR share","wifi;utilities","apt103.jpg","David Park","718-555-0603","By appt","Student OK","https://www.google.com/maps/search/?api=1&query=85+Stanhope+St+Brooklyn+NY+11221"
"691 Prospect Ave","South Bronx",950,Studio,1,8.4,"2/5","Basement studio","utilities","apt104.jpg","Lisa Wu","718-555-0604","Tue/Thu 3-5","Income 35x","https://www.google.com/maps/search/?api=1&query=691+Prospect+Ave+Bronx+NY+10455"
"357 Bradford St","East New York",1200,1,1,7.5,"J/Z","First floor apt","utilities;laundry","apt105.jpg","Mike Brown","718-555-0605","Sat/Sun 1-4","Credit 600+","https://www.google.com/maps/search/?api=1&query=357+Bradford+St+Brooklyn+NY+11207"
"185 Victory Blvd","Staten Island",1450,1,1,8.0,"Ferry","Near ferry","parking;utilities","apt106.jpg","Sarah Lee","718-555-0606","Mon-Fri 10-2","First/Security","https://www.google.com/maps/search/?api=1&query=185+Victory+Blvd+Staten+Island+NY+10301"
"1685 Boston Rd","Bronx",900,Studio,1,9.0,"2/5","Small studio","utilities","apt107.jpg","Tom Garcia","718-555-0607","Wed 4-6","SSI/Programs OK","https://www.google.com/maps/search/?api=1&query=1685+Boston+Rd+Bronx+NY+10460"
"645 DeKalb Ave","Bed-Stuy",1150,Studio,1,5.5,"G","Room in 4BR share, students welcome","wifi;laundry","apt108.jpg","Amy Wong","718-555-0608","Daily 2-6","Students OK","https://www.google.com/maps/search/?api=1&query=645+DeKalb+Ave+Brooklyn+NY+11216"
"1545 Unionport Rd","Parkchester",1000,Studio,1,9.5,"6","Efficiency studio, all utilities","utilities","apt109.jpg","James Liu","718-555-0609","Sat 11-2","Income verification","https://www.google.com/maps/search/?api=1&query=1545+Unionport+Rd+Bronx+NY+10462"
"88-25 148th St","Jamaica",1250,1,1,8.0,"F","Near hospital, quiet street","utilities;parking","apt110.jpg","Linda Chen","718-555-0610","Mon/Wed 1-4","First month + Security","https://www.google.com/maps/search/?api=1&query=88-25+148th+St+Jamaica+NY+11435"
"2857 West 16th St","Coney Island",1400,Studio,1,8.5,"F/Q","Near beach, renovated","utilities;laundry","apt111.jpg","Robert Kim","718-555-0611","Thu/Sat 12-3","Credit 600+","https://www.google.com/maps/search/?api=1&query=2857+West+16th+St+Brooklyn+NY+11224"
"121 Beach St","Stapleton",1100,1,1,8.2,"Ferry/SIR","Near train, utilities included","utilities;parking","apt112.jpg","Emma Davis","718-555-0612","Tue/Fri 3-6","First/Last","https://www.google.com/maps/search/?api=1&query=121+Beach+St+Staten+Island+NY+10304"
